date,PFlow.csv
2019-12-31,2829.0
2020-12-31,1338.0
2021-12-31,1986.0
2022-12-31,1893.0
2023-12-31,2186.0
2024-12-31,1058.0
2025-12-31,999.6
2026-12-31,3237.0
2027-12-31,4518.0
2028-12-31,2311.0
2029-12-31,3139.0
2030-12-31,1819.0
2031-12-31,2334.0
2032-12-31,2524.0
2033-12-31,1223.0
2034-12-31,3245.0
2035-12-31,2608.0
2036-12-31,1740.0
2037-12-31,1707.0
2038-12-31,3581.0
2039-12-31,4212.0
2040-12-31,2951.0
2041-12-31,1502.0
2042-12-31,2127.0
2043-12-31,2463.0
2044-12-31,1857.0
2045-12-31,3307.0
2046-12-31,3154.0
2047-12-31,3314.0
2048-12-31,1958.0
2049-12-31,1974.0
2050-12-31,1693.0
2051-12-31,2503.0
2052-12-31,4642.0
2053-12-31,2418.0
2054-12-31,3094.0
2055-12-31,1417.0
2056-12-31,1205.0
2057-12-31,3662.0
2058-12-31,1850.0
2059-12-31,4259.0
2060-12-31,2674.0
2061-12-31,2000.0
2062-12-31,1176.0
2063-12-31,2166.0
2064-12-31,2543.0
2065-12-31,4463.0
2066-12-31,2164.0
2067-12-31,1639.0
2068-12-31,3876.0
2069-12-31,1717.0
2070-12-31,2115.0
2071-12-31,5766.0
2072-12-31,2730.0
2073-12-31,4293.0
2074-12-31,1258.0
2075-12-31,1554.0
2076-12-31,4004.0
2077-12-31,2679.0
2078-12-31,2657.0
2079-12-31,4442.0
2080-12-31,5192.0
2081-12-31,890.9
2082-12-31,3174.0
2083-12-31,4102.0
2084-12-31,3355.0
2085-12-31,1187.0
2086-12-31,3100.0
2087-12-31,1690.0
2088-12-31,1963.0
2089-12-31,4398.0
2090-12-31,1692.0
2091-12-31,1102.0
2092-12-31,1093.0
2093-12-31,1481.0
2094-12-31,1449.0
2095-12-31,4423.0
2096-12-31,4898.0
2097-12-31,2249.0
2098-12-31,1410.0
2099-12-31,1264.0
